"Timestamp","Age","Gender","Nationality","How familiar are you with AI?","Indicate the extent to which you agree or disagree with each statement.   [I feel comfortable when businesses use AI to automate customer service.]","Indicate the extent to which you agree or disagree with each statement.   [I trust AI in business when it provides reliable information.]","Indicate the extent to which you agree or disagree with each statement.   [I trust AI in business to treat people without bias.]","Indicate the extent to which you agree or disagree with each statement.   [I trust AI more when it explains the reasoning behind its answers.]","Indicate the extent to which you agree or disagree with each statement.   [I trust businesses to use AI responsibly when handling my personal data.]","Indicate the extent to which you agree or disagree with each statement.   [I believe AI can help businesses make more ethical decisions.]","Indicate the extent to which you agree or disagree with each statement.   [I believe businesses that use AI gain a competitive advantage.]"
"2026/01/29 2:18:15 PM GMT+4","18","Female","Emirate","Very familiar","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"2026/01/29 2:18:15 PM GMT+4","18","Female","Sudanese ","Very familiar","Somewhat agree","Somewhat disagree","Agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree"
"2026/01/29 2:18:22 PM GMT+4","18","Female","Emirati ","Very familiar","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat disagree","Agree","Agree"
"2026/01/29 2:27:40 PM GMT+4","21","Female","Uae","Somewhat familiar","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Disagree"
"2026/01/29 2:29:40 PM GMT+4","17","Female","UAE","Very familiar","Somewhat agree","Agree","Somewhat disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree"
"2026/01/29 2:35:21 PM GMT+4","18","Female","United Arab Emirates ","Very familiar","Agree","Somewhat agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree"
"2026/01/29 2:35:46 PM GMT+4","18","Female","Emirati ","Somewhat familiar","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Agree"
"2026/01/29 3:59:43 PM GMT+4","18","Female","Emirates ","Very familiar","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree"
"2026/01/29 4:16:51 PM GMT+4","18","Female","Uae ","Very familiar","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/01/29 4:38:18 PM GMT+4","18","Female","Emirate","Very familiar","Somewhat agree","Agree","Agree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree"
"2026/01/29 5:50:33 PM GMT+4","20","Female","Emirati","Very familiar","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Somewhat disagree","Somewhat agree"
"2026/01/29 6:28:18 PM GMT+4","17","Female","United Arab Emirates ","Somewhat familiar","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree"
"2026/01/30 11:17:58 AM GMT+4","35","Female","American (USA)","Very familiar","Disagree","Disagree","Disagree","Somewhat disagree","Disagree","Disagree","Disagree"
"2026/01/30 1:32:45 PM GMT+4","22","Female","Emirati","Very familiar","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"2026/01/31 8:11:40 PM GMT+4","17","Female","United Arab Emirates ","Very familiar","Somewhat agree","Disagree","Disagree","Somewhat agree","Disagree","Somewhat agree","Somewhat agree"
"2026/02/02 6:32:32 PM GMT+4","18","Female","United Arab Emirates ","Somewhat familiar","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat disagree","Agree","Agree"
"2026/02/02 6:53:14 PM GMT+4","23","Female","Emirati","Very familiar","Somewhat disagree","Somewhat agree","Agree","Somewhat agree","Disagree","Somewhat disagree","Agree"
"2026/02/02 6:54:22 PM GMT+4","21","Female","Uae","Very familiar","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"2026/02/02 7:09:02 PM GMT+4","26","Female","UAE","Somewhat familiar","Somewhat agree","Agree","Agree","Agree","Somewhat agree","Agree","Agree"
"2026/02/02 7:14:47 PM GMT+4","22","Male","United Arab Emirates ","Very familiar","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Disagree","Somewhat disagree"
"2026/02/02 10:26:47 PM GMT+4","29","Male","Emirati ","Very familiar","Somewhat agree","Somewhat disagree","Agree","Agree","Agree","Somewhat disagree","Agree"
"2026/02/02 10:50:24 PM GMT+4","18","Female","Syria","Very familiar","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
"2026/02/02 10:53:42 PM GMT+4","20","Female","UAE","Very familiar","Somewhat agree","Somewhat disagree","Somewhat disagree","Agree","Somewhat disagree","Somewhat agree","Agree"
"2026/02/02 10:58:17 PM GMT+4","19","Female","UAE","Very familiar","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
